Issue.year,Issue.age,Sex,Smoker.Status,Channel
2016,26,M,S,Online
2017,26,M,S,Telemarketer
2017,26,M,S,Agent
2017,26,M,S,Online
2018,26,M,S,Telemarketer
2018,26,M,S,Agent
2018,26,M,S,Online
2019,26,M,S,Telemarketer
2019,26,M,S,Agent
2019,26,M,S,Online
2020,26,M,S,Telemarketer
2020,26,M,S,Agent
2020,26,M,S,Online
2021,26,M,S,Telemarketer
2021,26,M,S,Agent
2021,26,M,S,Online
2022,26,M,S,Telemarketer
2022,26,M,S,Agent
2022,26,M,S,Online
2023,26,M,S,Telemarketer
2023,26,M,S,Agent
2023,26,M,S,Online
2001,26,F,NS,Telemarketer
2001,26,F,NS,Agent
2001,26,F,NS,Online
2002,26,F,NS,Telemarketer
2002,26,F,NS,Agent
2002,26,F,NS,Online
2003,26,F,NS,Telemarketer
2003,26,F,NS,Agent
2003,26,F,NS,Online
2004,26,F,NS,Telemarketer
2004,26,F,NS,Agent
2004,26,F,NS,Online
2005,26,F,NS,Telemarketer
2005,26,F,NS,Agent
2005,26,F,NS,Online
2006,26,F,NS,Telemarketer
2006,26,F,NS,Agent
2006,26,F,NS,Online
2007,26,F,NS,Telemarketer
2007,26,F,NS,Agent
2007,26,F,NS,Online
2008,26,F,NS,Telemarketer
2008,26,F,NS,Agent
2008,26,F,NS,Online
2009,26,F,NS,Telemarketer
2009,26,F,NS,Agent
2009,26,F,NS,Online
2010,26,F,NS,Telemarketer
2010,26,F,NS,Agent
2010,26,F,NS,Online
2011,26,F,NS,Telemarketer
2011,26,F,NS,Agent
2011,26,F,NS,Online
2012,26,F,NS,Telemarketer
2012,26,F,NS,Agent
2012,26,F,NS,Online
2013,26,F,NS,Telemarketer
2013,26,F,NS,Agent
2013,26,F,NS,Online
2014,26,F,NS,Telemarketer
2014,26,F,NS,Agent
2014,26,F,NS,Online
2015,26,F,NS,Telemarketer
2015,26,F,NS,Agent
2015,26,F,NS,Online
2016,26,F,NS,Telemarketer
2016,26,F,NS,Agent
2016,26,F,NS,Online
2017,26,F,NS,Telemarketer
2017,26,F,NS,Agent
2017,26,F,NS,Online
2018,26,F,NS,Telemarketer
2018,26,F,NS,Agent
2018,26,F,NS,Online
2019,26,F,NS,Telemarketer
2019,26,F,NS,Agent
2019,26,F,NS,Online
2020,26,F,NS,Telemarketer
2020,26,F,NS,Agent
2020,26,F,NS,Online
2021,26,F,NS,Telemarketer
2021,26,F,NS,Agent
2021,26,F,NS,Online
2022,26,F,NS,Telemarketer
2022,26,F,NS,Agent
2022,26,F,NS,Online
2023,26,F,NS,Telemarketer
2023,26,F,NS,Agent
2023,26,F,NS,Online
2001,26,F,S,Telemarketer
2001,26,F,S,Agent
2001,26,F,S,Online
2002,26,F,S,Telemarketer
2002,26,F,S,Agent
2002,26,F,S,Online
2003,26,F,S,Telemarketer
2003,26,F,S,Agent
2003,26,F,S,Online
2004,26,F,S,Telemarketer
2004,26,F,S,Agent
2004,26,F,S,Online
2005,26,F,S,Telemarketer
2005,26,F,S,Agent
2005,26,F,S,Online
2006,26,F,S,Telemarketer
2006,26,F,S,Agent
2006,26,F,S,Online
2007,26,F,S,Telemarketer
2007,26,F,S,Agent
2007,26,F,S,Online
2008,26,F,S,Telemarketer
2008,26,F,S,Agent
2008,26,F,S,Online
2009,26,F,S,Telemarketer
2009,26,F,S,Agent
2009,26,F,S,Online
2010,26,F,S,Telemarketer
2010,26,F,S,Agent
2010,26,F,S,Online
2011,26,F,S,Telemarketer
2011,26,F,S,Agent
2011,26,F,S,Online
2012,26,F,S,Telemarketer
2012,26,F,S,Agent
2012,26,F,S,Online
2013,26,F,S,Telemarketer
2013,26,F,S,Agent
2013,26,F,S,Online
2014,26,F,S,Telemarketer
2014,26,F,S,Agent
2014,26,F,S,Online
2015,26,F,S,Telemarketer
2015,26,F,S,Agent
2015,26,F,S,Online
2016,26,F,S,Telemarketer
2016,26,F,S,Agent
2016,26,F,S,Online
2017,26,F,S,Telemarketer
2017,26,F,S,Agent
2017,26,F,S,Online
2018,26,F,S,Telemarketer
2018,26,F,S,Agent
2018,26,F,S,Online
2019,26,F,S,Telemarketer
2019,26,F,S,Agent
2019,26,F,S,Online
2020,26,F,S,Telemarketer
2020,26,F,S,Agent
2020,26,F,S,Online
2021,26,F,S,Telemarketer
2021,26,F,S,Agent
2021,26,F,S,Online
2022,26,F,S,Telemarketer
2022,26,F,S,Agent
2022,26,F,S,Online
2023,26,F,S,Telemarketer
2023,26,F,S,Agent
2023,26,F,S,Online
2001,27,M,NS,Telemarketer
2001,27,M,NS,Agent
2001,27,M,NS,Online
2002,27,M,NS,Telemarketer
2002,27,M,NS,Agent
2002,27,M,NS,Online
2003,27,M,NS,Telemarketer
2003,27,M,NS,Agent
2003,27,M,NS,Online
2004,27,M,NS,Telemarketer
2004,27,M,NS,Agent
2004,27,M,NS,Online
2005,27,M,NS,Telemarketer
2005,27,M,NS,Agent
2005,27,M,NS,Online
2006,27,M,NS,Telemarketer
2006,27,M,NS,Agent
2006,27,M,NS,Online
2007,27,M,NS,Telemarketer
2007,27,M,NS,Agent
2007,27,M,NS,Online
2008,27,M,NS,Telemarketer
2008,27,M,NS,Agent
2008,27,M,NS,Online
2009,27,M,NS,Telemarketer
2009,27,M,NS,Agent
2009,27,M,NS,Online
2010,27,M,NS,Telemarketer
2010,27,M,NS,Agent
2010,27,M,NS,Online
2011,27,M,NS,Telemarketer
2011,27,M,NS,Agent
2011,27,M,NS,Online
2012,27,M,NS,Telemarketer
2012,27,M,NS,Agent
2012,27,M,NS,Online
2013,27,M,NS,Telemarketer
2013,27,M,NS,Agent
2013,27,M,NS,Online
2014,27,M,NS,Telemarketer
2014,27,M,NS,Agent
2014,27,M,NS,Online
2015,27,M,NS,Telemarketer
2015,27,M,NS,Agent
2015,27,M,NS,Online
2016,27,M,NS,Telemarketer
2016,27,M,NS,Agent
2016,27,M,NS,Online
2017,27,M,NS,Telemarketer
2017,27,M,NS,Agent
2017,27,M,NS,Online
2018,27,M,NS,Telemarketer
2018,27,M,NS,Agent
2018,27,M,NS,Online
2019,27,M,NS,Telemarketer
2019,27,M,NS,Agent
2019,27,M,NS,Online
2020,27,M,NS,Telemarketer
2020,27,M,NS,Agent
2020,27,M,NS,Online
2021,27,M,NS,Telemarketer
2021,27,M,NS,Agent
2021,27,M,NS,Online
2022,27,M,NS,Telemarketer
2022,27,M,NS,Agent
2022,27,M,NS,Online
2023,27,M,NS,Telemarketer
2023,27,M,NS,Agent
2023,27,M,NS,Online
2001,27,M,S,Telemarketer
2001,27,M,S,Agent
2001,27,M,S,Online
2002,27,M,S,Telemarketer
2002,27,M,S,Agent
2002,27,M,S,Online
2003,27,M,S,Telemarketer
2003,27,M,S,Agent
2003,27,M,S,Online
2004,27,M,S,Telemarketer
2004,27,M,S,Agent
2004,27,M,S,Online
2005,27,M,S,Telemarketer
2005,27,M,S,Agent
2005,27,M,S,Online
2006,27,M,S,Telemarketer
2006,27,M,S,Agent
2006,27,M,S,Online
2007,27,M,S,Telemarketer
2007,27,M,S,Agent
2007,27,M,S,Online
2008,27,M,S,Telemarketer
2008,27,M,S,Agent
2008,27,M,S,Online
2009,27,M,S,Telemarketer
2009,27,M,S,Agent
2009,27,M,S,Online
2010,27,M,S,Telemarketer
2010,27,M,S,Agent
2010,27,M,S,Online
2011,27,M,S,Telemarketer
2011,27,M,S,Agent
2011,27,M,S,Online
2012,27,M,S,Telemarketer
2012,27,M,S,Agent
2012,27,M,S,Online
2013,27,M,S,Telemarketer
2013,27,M,S,Agent
2013,27,M,S,Online
2014,27,M,S,Telemarketer
2014,27,M,S,Agent
2014,27,M,S,Online
2015,27,M,S,Telemarketer
2015,27,M,S,Agent
2015,27,M,S,Online
2016,27,M,S,Telemarketer
2016,27,M,S,Agent
2016,27,M,S,Online
2017,27,M,S,Telemarketer
2017,27,M,S,Agent
2017,27,M,S,Online
2018,27,M,S,Telemarketer
2018,27,M,S,Agent
2018,27,M,S,Online
2019,27,M,S,Telemarketer
2019,27,M,S,Agent
2019,27,M,S,Online
2020,27,M,S,Telemarketer
2020,27,M,S,Agent
2020,27,M,S,Online
2021,27,M,S,Telemarketer
2021,27,M,S,Agent
2021,27,M,S,Online
2022,27,M,S,Telemarketer
2022,27,M,S,Agent
2022,27,M,S,Online
2023,27,M,S,Telemarketer
2023,27,M,S,Agent
2023,27,M,S,Online
2001,27,F,NS,Telemarketer
2001,27,F,NS,Agent
2001,27,F,NS,Online
2002,27,F,NS,Telemarketer
2002,27,F,NS,Agent
2002,27,F,NS,Online
2003,27,F,NS,Telemarketer
2003,27,F,NS,Agent
2003,27,F,NS,Online
2004,27,F,NS,Telemarketer
2004,27,F,NS,Agent
2004,27,F,NS,Online
2005,27,F,NS,Telemarketer
2005,27,F,NS,Agent
2005,27,F,NS,Online
2006,27,F,NS,Telemarketer
2006,27,F,NS,Agent
2006,27,F,NS,Online
2007,27,F,NS,Telemarketer
2007,27,F,NS,Agent
2007,27,F,NS,Online
2008,27,F,NS,Telemarketer
2008,27,F,NS,Agent
2008,27,F,NS,Online
2009,27,F,NS,Telemarketer
2009,27,F,NS,Agent
2009,27,F,NS,Online
2010,27,F,NS,Telemarketer
2010,27,F,NS,Agent
2010,27,F,NS,Online
2011,27,F,NS,Telemarketer
2011,27,F,NS,Agent
2011,27,F,NS,Online
2012,27,F,NS,Telemarketer
2012,27,F,NS,Agent
2012,27,F,NS,Online
2013,27,F,NS,Telemarketer
2013,27,F,NS,Agent
2013,27,F,NS,Online
2014,27,F,NS,Telemarketer
2014,27,F,NS,Agent
2014,27,F,NS,Online
2015,27,F,NS,Telemarketer
2015,27,F,NS,Agent
2015,27,F,NS,Online
2016,27,F,NS,Telemarketer
2016,27,F,NS,Agent
2016,27,F,NS,Online
2017,27,F,NS,Telemarketer
2017,27,F,NS,Agent
2017,27,F,NS,Online
2018,27,F,NS,Telemarketer
2018,27,F,NS,Agent
2018,27,F,NS,Online
2019,27,F,NS,Telemarketer
2019,27,F,NS,Agent
2019,27,F,NS,Online
2020,27,F,NS,Telemarketer
2020,27,F,NS,Agent
2020,27,F,NS,Online
2021,27,F,NS,Telemarketer
2021,27,F,NS,Agent
2021,27,F,NS,Online
2022,27,F,NS,Telemarketer
2022,27,F,NS,Agent
2022,27,F,NS,Online
2023,27,F,NS,Telemarketer
2023,27,F,NS,Agent
2023,27,F,NS,Online
2001,27,F,S,Telemarketer
2001,27,F,S,Agent
2001,27,F,S,Online
2002,27,F,S,Telemarketer
2002,27,F,S,Agent
2002,27,F,S,Online
2003,27,F,S,Telemarketer
2003,27,F,S,Agent
2003,27,F,S,Online
2004,27,F,S,Telemarketer
2004,27,F,S,Agent
2004,27,F,S,Online
2005,27,F,S,Telemarketer
2005,27,F,S,Agent
2005,27,F,S,Online
2006,27,F,S,Telemarketer
2006,27,F,S,Agent
2006,27,F,S,Online
2007,27,F,S,Telemarketer
2007,27,F,S,Agent
2007,27,F,S,Online
2008,27,F,S,Telemarketer
2008,27,F,S,Agent
2008,27,F,S,Online
2009,27,F,S,Telemarketer
2009,27,F,S,Agent
2009,27,F,S,Online
2010,27,F,S,Telemarketer
2010,27,F,S,Agent
2010,27,F,S,Online
2011,27,F,S,Telemarketer
2011,27,F,S,Agent
2011,27,F,S,Online
2012,27,F,S,Telemarketer
2012,27,F,S,Agent
2012,27,F,S,Online
2013,27,F,S,Telemarketer
2013,27,F,S,Agent
2013,27,F,S,Online
2014,27,F,S,Telemarketer
2014,27,F,S,Agent
2014,27,F,S,Online
2015,27,F,S,Telemarketer
2015,27,F,S,Agent
2015,27,F,S,Online
2016,27,F,S,Telemarketer
2016,27,F,S,Agent
2016,27,F,S,Online
2017,27,F,S,Telemarketer
2017,27,F,S,Agent
2017,27,F,S,Online
2018,27,F,S,Telemarketer
2018,27,F,S,Agent
2018,27,F,S,Online
2019,27,F,S,Telemarketer
2019,27,F,S,Agent
2019,27,F,S,Online
2020,27,F,S,Telemarketer
2020,27,F,S,Agent
2020,27,F,S,Online
2021,27,F,S,Telemarketer
2021,27,F,S,Agent
2021,27,F,S,Online
2022,27,F,S,Telemarketer
2022,27,F,S,Agent
2022,27,F,S,Online
2023,27,F,S,Telemarketer
2023,27,F,S,Agent
2023,27,F,S,Online
2001,28,M,NS,Telemarketer
2001,28,M,NS,Agent
2001,28,M,NS,Online
2002,28,M,NS,Telemarketer
2002,28,M,NS,Agent
2002,28,M,NS,Online
2003,28,M,NS,Telemarketer
2003,28,M,NS,Agent
2003,28,M,NS,Online
2004,28,M,NS,Telemarketer
2004,28,M,NS,Agent
2004,28,M,NS,Online
2005,28,M,NS,Telemarketer
2005,28,M,NS,Agent
2005,28,M,NS,Online
2006,28,M,NS,Telemarketer
2006,28,M,NS,Agent
2006,28,M,NS,Online
2007,28,M,NS,Telemarketer
2007,28,M,NS,Agent
2007,28,M,NS,Online
2008,28,M,NS,Telemarketer
2008,28,M,NS,Agent
2008,28,M,NS,Online
2009,28,M,NS,Telemarketer
2009,28,M,NS,Agent
2009,28,M,NS,Online
2010,28,M,NS,Telemarketer
2010,28,M,NS,Agent
2010,28,M,NS,Online
2011,28,M,NS,Telemarketer
2011,28,M,NS,Agent
2011,28,M,NS,Online
2012,28,M,NS,Telemarketer
2012,28,M,NS,Agent
2012,28,M,NS,Online
2013,28,M,NS,Telemarketer
2013,28,M,NS,Agent
2013,28,M,NS,Online
2014,28,M,NS,Telemarketer
2014,28,M,NS,Agent
2014,28,M,NS,Online
2015,28,M,NS,Telemarketer
2015,28,M,NS,Agent
2015,28,M,NS,Online
2016,28,M,NS,Telemarketer
2016,28,M,NS,Agent
2016,28,M,NS,Online
2017,28,M,NS,Telemarketer
2017,28,M,NS,Agent
2017,28,M,NS,Online
2018,28,M,NS,Telemarketer
2018,28,M,NS,Agent
2018,28,M,NS,Online
2019,28,M,NS,Telemarketer
2019,28,M,NS,Agent
2019,28,M,NS,Online
2020,28,M,NS,Telemarketer
2020,28,M,NS,Agent
2020,28,M,NS,Online
2021,28,M,NS,Telemarketer
2021,28,M,NS,Agent
2021,28,M,NS,Online
2022,28,M,NS,Telemarketer
2022,28,M,NS,Agent
2022,28,M,NS,Online
2023,28,M,NS,Telemarketer
2023,28,M,NS,Agent
2023,28,M,NS,Online
2001,28,M,S,Telemarketer
2001,28,M,S,Agent
2001,28,M,S,Online
2002,28,M,S,Telemarketer
2002,28,M,S,Agent
2002,28,M,S,Online
2003,28,M,S,Telemarketer
2003,28,M,S,Agent
2003,28,M,S,Online
2004,28,M,S,Telemarketer
2004,28,M,S,Agent
2004,28,M,S,Online
2005,28,M,S,Telemarketer
2005,28,M,S,Agent
2005,28,M,S,Online
2006,28,M,S,Telemarketer
2006,28,M,S,Agent
2006,28,M,S,Online
2007,28,M,S,Telemarketer
2007,28,M,S,Agent
2007,28,M,S,Online
2008,28,M,S,Telemarketer
2008,28,M,S,Agent
2008,28,M,S,Online
2009,28,M,S,Telemarketer
2009,28,M,S,Agent
2009,28,M,S,Online
2010,28,M,S,Telemarketer
2010,28,M,S,Agent
2010,28,M,S,Online
2011,28,M,S,Telemarketer
2011,28,M,S,Agent
2011,28,M,S,Online
2012,28,M,S,Telemarketer
2012,28,M,S,Agent
2012,28,M,S,Online
2013,28,M,S,Telemarketer
2013,28,M,S,Agent
2013,28,M,S,Online
2014,28,M,S,Telemarketer
2014,28,M,S,Agent
2014,28,M,S,Online
2015,28,M,S,Telemarketer
2015,28,M,S,Agent
2015,28,M,S,Online
2016,28,M,S,Telemarketer
2016,28,M,S,Agent
2016,28,M,S,Online
2017,28,M,S,Telemarketer
2017,28,M,S,Agent
2017,28,M,S,Online
2018,28,M,S,Telemarketer
2018,28,M,S,Agent
2018,28,M,S,Online
2019,28,M,S,Telemarketer
2019,28,M,S,Agent
2019,28,M,S,Online
2020,28,M,S,Telemarketer
2020,28,M,S,Agent
2020,28,M,S,Online
2021,28,M,S,Telemarketer
2021,28,M,S,Agent
2021,28,M,S,Online
2022,28,M,S,Telemarketer
2022,28,M,S,Agent
2022,28,M,S,Online
2023,28,M,S,Telemarketer
2023,28,M,S,Agent
2023,28,M,S,Online
2001,28,F,NS,Telemarketer
2001,28,F,NS,Agent
2001,28,F,NS,Online
2002,28,F,NS,Telemarketer
2002,28,F,NS,Agent
2002,28,F,NS,Online
2003,28,F,NS,Telemarketer
2003,28,F,NS,Agent
2003,28,F,NS,Online
2004,28,F,NS,Telemarketer
2004,28,F,NS,Agent
2004,28,F,NS,Online
2005,28,F,NS,Telemarketer
2005,28,F,NS,Agent
2005,28,F,NS,Online
2006,28,F,NS,Telemarketer
2006,28,F,NS,Agent
2006,28,F,NS,Online
2007,28,F,NS,Telemarketer
2007,28,F,NS,Agent
2007,28,F,NS,Online
2008,28,F,NS,Telemarketer
2008,28,F,NS,Agent
2008,28,F,NS,Online
2009,28,F,NS,Telemarketer
2009,28,F,NS,Agent
2009,28,F,NS,Online
2010,28,F,NS,Telemarketer
2010,28,F,NS,Agent
2010,28,F,NS,Online
2011,28,F,NS,Telemarketer
2011,28,F,NS,Agent
2011,28,F,NS,Online
2012,28,F,NS,Telemarketer
2012,28,F,NS,Agent
2012,28,F,NS,Online
2013,28,F,NS,Telemarketer
2013,28,F,NS,Agent
2013,28,F,NS,Online
2014,28,F,NS,Telemarketer
2014,28,F,NS,Agent
2014,28,F,NS,Online
2015,28,F,NS,Telemarketer
2015,28,F,NS,Agent
2015,28,F,NS,Online
2016,28,F,NS,Telemarketer
2016,28,F,NS,Agent
2016,28,F,NS,Online
2017,28,F,NS,Telemarketer
2017,28,F,NS,Agent
2017,28,F,NS,Online
2018,28,F,NS,Telemarketer
2018,28,F,NS,Agent
2018,28,F,NS,Online
2019,28,F,NS,Telemarketer
2019,28,F,NS,Agent
2019,28,F,NS,Online
2020,28,F,NS,Telemarketer
2020,28,F,NS,Agent
2020,28,F,NS,Online
2021,28,F,NS,Telemarketer
2021,28,F,NS,Agent
2021,28,F,NS,Online
2022,28,F,NS,Telemarketer
2022,28,F,NS,Agent
2022,28,F,NS,Online
2023,28,F,NS,Telemarketer
2023,28,F,NS,Agent
2023,28,F,NS,Online
2001,28,F,S,Telemarketer
2001,28,F,S,Agent
2001,28,F,S,Online
2002,28,F,S,Telemarketer
2002,28,F,S,Agent
2002,28,F,S,Online
2003,28,F,S,Telemarketer
2003,28,F,S,Agent
2003,28,F,S,Online
2004,28,F,S,Telemarketer
2004,28,F,S,Agent
2004,28,F,S,Online
2005,28,F,S,Telemarketer
2005,28,F,S,Agent
2005,28,F,S,Online
2006,28,F,S,Telemarketer
2006,28,F,S,Agent
2006,28,F,S,Online
2007,28,F,S,Telemarketer
2007,28,F,S,Agent
2007,28,F,S,Online
2008,28,F,S,Telemarketer
2008,28,F,S,Agent
2008,28,F,S,Online
2009,28,F,S,Telemarketer
2009,28,F,S,Agent
2009,28,F,S,Online
2010,28,F,S,Telemarketer
2010,28,F,S,Agent
2010,28,F,S,Online
2011,28,F,S,Telemarketer
2011,28,F,S,Agent
2011,28,F,S,Online
2012,28,F,S,Telemarketer
2012,28,F,S,Agent
2012,28,F,S,Online
2013,28,F,S,Telemarketer
2013,28,F,S,Agent
2013,28,F,S,Online
2014,28,F,S,Telemarketer
2014,28,F,S,Agent
2014,28,F,S,Online
2015,28,F,S,Telemarketer
2015,28,F,S,Agent
2015,28,F,S,Online
2016,28,F,S,Telemarketer
2016,28,F,S,Agent
2016,28,F,S,Online
2017,28,F,S,Telemarketer
2017,28,F,S,Agent
2017,28,F,S,Online
2018,28,F,S,Telemarketer
2018,28,F,S,Agent
2018,28,F,S,Online
2019,28,F,S,Telemarketer
2019,28,F,S,Agent
2019,28,F,S,Online
2020,28,F,S,Telemarketer
2020,28,F,S,Agent
2020,28,F,S,Online
2021,28,F,S,Telemarketer
2021,28,F,S,Agent
2021,28,F,S,Online
2022,28,F,S,Telemarketer
2022,28,F,S,Agent
2022,28,F,S,Online
2023,28,F,S,Telemarketer
2023,28,F,S,Agent
2023,28,F,S,Online
2001,29,M,NS,Telemarketer
2001,29,M,NS,Agent
2001,29,M,NS,Online
2002,29,M,NS,Telemarketer
2002,29,M,NS,Agent
2002,29,M,NS,Online
2003,29,M,NS,Telemarketer
2003,29,M,NS,Agent
2003,29,M,NS,Online
2004,29,M,NS,Telemarketer
2004,29,M,NS,Agent
2004,29,M,NS,Online
2005,29,M,NS,Telemarketer
2005,29,M,NS,Agent
2005,29,M,NS,Online
2006,29,M,NS,Telemarketer
2006,29,M,NS,Agent
2006,29,M,NS,Online
2007,29,M,NS,Telemarketer
2007,29,M,NS,Agent
2007,29,M,NS,Online
2008,29,M,NS,Telemarketer
2008,29,M,NS,Agent
2008,29,M,NS,Online
2009,29,M,NS,Telemarketer
2009,29,M,NS,Agent
2009,29,M,NS,Online
2010,29,M,NS,Telemarketer
2010,29,M,NS,Agent
2010,29,M,NS,Online
2011,29,M,NS,Telemarketer
2011,29,M,NS,Agent
2011,29,M,NS,Online
2012,29,M,NS,Telemarketer
2012,29,M,NS,Agent
2012,29,M,NS,Online
2013,29,M,NS,Telemarketer
2013,29,M,NS,Agent
2013,29,M,NS,Online
2014,29,M,NS,Telemarketer
2014,29,M,NS,Agent
2014,29,M,NS,Online
2015,29,M,NS,Telemarketer
2015,29,M,NS,Agent
2015,29,M,NS,Online
2016,29,M,NS,Telemarketer
2016,29,M,NS,Agent
2016,29,M,NS,Online
2017,29,M,NS,Telemarketer
2017,29,M,NS,Agent
2017,29,M,NS,Online
2018,29,M,NS,Telemarketer
2018,29,M,NS,Agent
2018,29,M,NS,Online
2019,29,M,NS,Telemarketer
2019,29,M,NS,Agent
2019,29,M,NS,Online
2020,29,M,NS,Telemarketer
2020,29,M,NS,Agent
2020,29,M,NS,Online
2021,29,M,NS,Telemarketer
2021,29,M,NS,Agent
2021,29,M,NS,Online
2022,29,M,NS,Telemarketer
2022,29,M,NS,Agent
2022,29,M,NS,Online
2023,29,M,NS,Telemarketer
2023,29,M,NS,Agent
2023,29,M,NS,Online
2001,29,M,S,Telemarketer
2001,29,M,S,Agent
2001,29,M,S,Online
2002,29,M,S,Telemarketer
2002,29,M,S,Agent
2002,29,M,S,Online
2003,29,M,S,Telemarketer
2003,29,M,S,Agent
2003,29,M,S,Online
2004,29,M,S,Telemarketer
2004,29,M,S,Agent
2004,29,M,S,Online
2005,29,M,S,Telemarketer
2005,29,M,S,Agent
2005,29,M,S,Online
2006,29,M,S,Telemarketer
2006,29,M,S,Agent
2006,29,M,S,Online
2007,29,M,S,Telemarketer
2007,29,M,S,Agent
2007,29,M,S,Online
2008,29,M,S,Telemarketer
2008,29,M,S,Agent
2008,29,M,S,Online
2009,29,M,S,Telemarketer
2009,29,M,S,Agent
2009,29,M,S,Online
2010,29,M,S,Telemarketer
2010,29,M,S,Agent
2010,29,M,S,Online
2011,29,M,S,Telemarketer
2011,29,M,S,Agent
2011,29,M,S,Online
2012,29,M,S,Telemarketer
2012,29,M,S,Agent
2012,29,M,S,Online
2013,29,M,S,Telemarketer
2013,29,M,S,Agent
2013,29,M,S,Online
2014,29,M,S,Telemarketer
2014,29,M,S,Agent
2014,29,M,S,Online
2015,29,M,S,Telemarketer
2015,29,M,S,Agent
2015,29,M,S,Online
2016,29,M,S,Telemarketer
2016,29,M,S,Agent
2016,29,M,S,Online
2017,29,M,S,Telemarketer
2017,29,M,S,Agent
2017,29,M,S,Online
2018,29,M,S,Telemarketer
2018,29,M,S,Agent
2018,29,M,S,Online
2019,29,M,S,Telemarketer
2019,29,M,S,Agent
2019,29,M,S,Online
2020,29,M,S,Telemarketer
2020,29,M,S,Agent
2020,29,M,S,Online
2021,29,M,S,Telemarketer
2021,29,M,S,Agent
2021,29,M,S,Online
2022,29,M,S,Telemarketer
2022,29,M,S,Agent
2022,29,M,S,Online
2023,29,M,S,Telemarketer
2023,29,M,S,Agent
2023,29,M,S,Online
2001,29,F,NS,Telemarketer
2001,29,F,NS,Agent
2001,29,F,NS,Online
2002,29,F,NS,Telemarketer
2002,29,F,NS,Agent
2002,29,F,NS,Online
2003,29,F,NS,Telemarketer
2003,29,F,NS,Agent
2003,29,F,NS,Online
2004,29,F,NS,Telemarketer
2004,29,F,NS,Agent
2004,29,F,NS,Online
2005,29,F,NS,Telemarketer
2005,29,F,NS,Agent
2005,29,F,NS,Online
2006,29,F,NS,Telemarketer
2006,29,F,NS,Agent
