Model Point Number,Policy.type,Issue.year,Issue.age,Sex,Face.amount,Smoker.Status,Underwriting.Class,Distribution.Channel
427,T20,2024,32,F,50000,NS,low risk,Agent
428,T20,2024,33,F,50000,NS,low risk,Agent
429,T20,2024,34,F,50000,NS,low risk,Agent
430,T20,2024,35,F,50000,NS,low risk,Agent
431,T20,2024,36,F,50000,NS,low risk,Agent
432,T20,2024,37,F,50000,NS,low risk,Agent
433,T20,2024,38,F,50000,NS,low risk,Agent
434,T20,2024,39,F,50000,NS,low risk,Agent
435,T20,2024,40,F,50000,NS,low risk,Agent
436,T20,2024,41,F,50000,NS,low risk,Agent
437,T20,2024,42,F,50000,NS,low risk,Agent
438,T20,2024,43,F,50000,NS,low risk,Agent
439,T20,2024,44,F,50000,NS,low risk,Agent
440,T20,2024,45,F,50000,NS,low risk,Agent
441,T20,2024,46,F,50000,NS,low risk,Agent
442,T20,2024,47,F,50000,NS,low risk,Agent
443,T20,2024,48,F,50000,NS,low risk,Agent
444,T20,2024,49,F,50000,NS,low risk,Agent
445,T20,2024,50,F,50000,NS,low risk,Agent
446,T20,2024,51,F,50000,NS,low risk,Agent
447,T20,2024,52,F,50000,NS,low risk,Agent
448,T20,2024,53,F,50000,NS,low risk,Agent
449,T20,2024,54,F,50000,NS,low risk,Agent
450,T20,2024,55,F,50000,NS,low risk,Agent
451,T20,2024,26,F,50000,NS,low risk,Agent
452,T20,2024,27,F,50000,NS,low risk,Agent
453,T20,2024,28,F,50000,NS,low risk,Agent
454,T20,2024,29,F,50000,NS,low risk,Agent
455,T20,2024,30,F,50000,NS,low risk,Agent
456,T20,2024,31,F,50000,NS,low risk,Agent
457,T20,2024,32,F,50000,NS,low risk,Agent
458,T20,2024,33,F,50000,NS,low risk,Agent
459,T20,2024,34,F,50000,NS,low risk,Agent
460,T20,2024,35,F,50000,NS,low risk,Agent
461,T20,2024,36,F,50000,NS,low risk,Agent
462,T20,2024,37,F,50000,NS,low risk,Agent
463,T20,2024,38,F,50000,NS,low risk,Agent
464,T20,2024,39,F,50000,NS,low risk,Agent
465,T20,2024,40,F,50000,NS,low risk,Agent
466,T20,2024,41,F,50000,NS,low risk,Agent
467,T20,2024,42,F,50000,NS,low risk,Agent
468,T20,2024,43,F,50000,NS,low risk,Agent
469,T20,2024,44,F,50000,NS,low risk,Agent
470,T20,2024,45,F,50000,NS,low risk,Agent
471,T20,2024,46,F,50000,NS,low risk,Agent
472,T20,2024,47,F,50000,NS,low risk,Agent
473,T20,2024,48,F,50000,NS,low risk,Agent
474,T20,2024,49,F,50000,NS,low risk,Agent
475,T20,2024,50,F,50000,NS,low risk,Agent
476,T20,2024,51,F,50000,NS,low risk,Agent
477,T20,2024,52,F,50000,NS,low risk,Agent
478,T20,2024,53,F,50000,NS,low risk,Agent
479,T20,2024,54,F,50000,NS,low risk,Agent
480,T20,2024,55,F,50000,NS,low risk,Agent
481,T20,2024,26,F,50000,NS,low risk,Agent
482,T20,2024,27,F,50000,NS,low risk,Agent
483,T20,2024,28,F,50000,NS,low risk,Agent
484,T20,2024,29,F,50000,NS,low risk,Agent
485,T20,2024,30,F,50000,NS,low risk,Agent
486,T20,2024,31,F,50000,NS,low risk,Agent
487,T20,2024,32,F,50000,NS,low risk,Agent
488,T20,2024,33,F,50000,NS,low risk,Agent
489,T20,2024,34,F,50000,NS,low risk,Agent
490,T20,2024,35,F,50000,NS,low risk,Agent
491,T20,2024,36,F,50000,NS,low risk,Agent
492,T20,2024,37,F,50000,NS,low risk,Agent
493,T20,2024,38,F,50000,NS,low risk,Agent
494,T20,2024,39,F,50000,NS,low risk,Agent
495,T20,2024,40,F,50000,NS,low risk,Agent
496,T20,2024,41,F,50000,NS,low risk,Agent
497,T20,2024,42,F,50000,NS,low risk,Agent
498,T20,2024,43,F,50000,NS,low risk,Agent
499,T20,2024,44,F,50000,NS,low risk,Agent
500,T20,2024,45,F,50000,NS,low risk,Agent
501,T20,2024,46,F,50000,NS,low risk,Agent
502,T20,2024,47,F,50000,NS,low risk,Agent
503,T20,2024,48,F,50000,NS,low risk,Agent
504,T20,2024,49,F,50000,NS,low risk,Agent
505,T20,2024,50,F,50000,NS,low risk,Agent
506,T20,2024,51,F,50000,NS,low risk,Agent
507,T20,2024,52,F,50000,NS,low risk,Agent
508,T20,2024,53,F,50000,NS,low risk,Agent
509,T20,2024,54,F,50000,NS,low risk,Agent
510,T20,2024,55,F,50000,NS,low risk,Agent
511,T20,2024,26,F,50000,NS,low risk,Agent
512,T20,2024,27,F,50000,NS,low risk,Agent
513,T20,2024,28,F,50000,NS,low risk,Agent
514,T20,2024,29,F,50000,NS,low risk,Agent
515,T20,2024,30,F,50000,NS,low risk,Agent
516,T20,2024,31,F,50000,NS,low risk,Agent
517,T20,2024,32,F,50000,NS,low risk,Agent
518,T20,2024,33,F,50000,NS,low risk,Agent
519,T20,2024,34,F,50000,NS,low risk,Agent
520,T20,2024,35,F,50000,NS,low risk,Agent
521,T20,2024,36,F,50000,NS,low risk,Agent
522,T20,2024,37,F,50000,NS,low risk,Agent
523,T20,2024,38,F,50000,NS,low risk,Agent
524,T20,2024,39,F,50000,NS,low risk,Agent
525,T20,2024,40,F,50000,NS,low risk,Agent
